Description	ID	tita	tlon	tcan	tusa	dmag	dpul	afra	ocin	tcas	lart	lubb	lapu	lcou	etex
NA	OG0000188	0	4	0	1	17	0	0	9	0	3	0	6	3	15
NA	OG0000189	3	2	2	2	9	13	5	0	8	2	2	2	2	5
NA	OG0000190	0	0	0	0	12	35	0	0	3	3	1	1	2	0
NA	OG0000191	3	2	3	3	3	3	7	6	10	2	2	2	2	8
NA	OG0000192	2	2	2	2	16	14	2	2	0	2	3	4	2	3
NA	OG0000193	14	0	3	5	0	0	0	0	0	11	4	9	6	4
NA	OG0000194	0	1	0	0	12	22	6	0	6	0	0	1	1	6
NA	OG0000195	3	3	4	4	3	6	4	7	6	2	4	3	3	3
NA	OG0000196	7	5	7	8	2	3	2	8	1	2	2	2	4	2
NA	OG0000197	3	6	3	3	8	9	1	0	0	6	3	1	4	8
NA	OG0000198	2	2	2	2	2	12	6	4	6	3	3	3	3	5
NA	OG0000199	3	2	4	3	6	11	1	2	7	2	2	3	2	7
NA	OG0000200	6	3	11	7	0	0	0	1	0	4	8	9	6	0
NA	OG0000202	2	1	2	12	3	5	4	6	3	3	2	5	6	0
NA	OG0000203	8	5	8	7	3	5	2	0	0	3	2	2	2	7
NA	OG0000204	2	1	3	3	4	5	7	0	14	4	3	3	2	3
NA	OG0000205	3	1	3	2	5	13	1	4	5	5	3	3	2	4
NA	OG0000206	2	1	2	2	5	5	3	3	12	3	3	4	4	5
NA	OG0000207	1	1	1	1	15	17	2	4	4	1	1	1	2	3
NA	OG0000208	7	5	6	6	4	7	4	1	1	3	3	3	2	2
NA	OG0000209	0	0	0	0	0	0	1	0	53	0	0	0	0	0
NA	OG0000210	4	0	1	0	16	1	0	0	0	4	8	17	3	0
NA	OG0000211	0	0	0	0	52	1	0	0	1	0	0	0	0	0
NA	OG0000212	0	0	0	0	0	53	0	1	0	0	0	0	0	0
NA	OG0000213	1	1	1	1	2	3	13	18	2	2	2	2	1	4
NA	OG0000214	11	1	4	0	0	0	1	0	2	9	6	16	3	0
NA	OG0000215	0	0	0	0	51	2	0	0	0	0	0	0	0	0
NA	OG0000216	0	0	0	0	0	3	0	7	14	0	0	12	6	11
NA	OG0000218	1	4	1	1	5	1	37	0	0	0	0	0	0	2
NA	OG0000219	3	1	3	2	12	11	6	3	0	1	5	1	2	2
NA	OG0000220	2	2	4	3	3	5	7	3	4	3	3	3	3	7
NA	OG0000222	2	3	3	3	6	5	8	1	6	3	1	2	1	8
NA	OG0000223	7	4	4	4	3	2	1	6	6	3	4	3	3	2
NA	OG0000224	3	2	2	2	2	2	13	2	1	2	4	2	12	3
NA	OG0000225	3	1	3	3	4	5	4	4	3	2	5	4	3	8
NA	OG0000226	1	1	1	1	3	10	0	3	4	3	6	6	5	8
NA	OG0000228	0	0	0	0	51	1	0	0	0	0	0	0	0	0
NA	OG0000231	7	17	7	7	0	0	0	0	0	3	3	5	3	0
NA	OG0000233	5	6	6	7	2	2	2	1	3	2	5	3	4	3
NA	OG0000234	5	4	4	5	2	3	2	2	6	2	3	3	2	8
NA	OG0000235	5	3	3	3	3	4	4	5	2	3	2	2	2	10
NA	OG0000236	4	1	1	1	5	4	3	7	9	2	3	3	2	6
NA	OG0000237	2	2	2	3	3	2	2	2	16	4	2	3	2	6
NA	OG0000238	8	2	3	3	2	3	1	6	9	2	2	2	3	5
NA	OG0000239	0	0	8	0	16	7	0	0	0	9	4	3	2	2
NA	OG0000240	3	3	3	3	8	24	0	0	0	0	1	0	2	4
NA	OG0000241	0	0	0	0	40	7	0	0	0	0	0	0	0	4
NA	OG0000242	9	0	3	0	4	0	0	0	0	18	1	2	4	10
NA	OG0000243	2	3	3	2	4	4	4	5	5	5	3	2	2	6
NA	OG0000244	3	3	3	3	6	5	2	7	4	3	2	3	3	3
NA	OG0000245	2	2	5	3	2	2	1	4	7	2	2	3	3	12
NA	OG0000246	3	2	4	4	3	3	6	4	7	2	2	1	3	6
NA	OG0000247	1	2	2	6	3	5	5	2	6	2	3	2	6	5
NA	OG0000248	10	6	9	10	0	0	1	0	0	3	3	4	4	0
NA	OG0000249	1	1	2	1	2	1	2	2	24	1	1	1	3	8
NA	OG0000250	0	0	0	0	36	13	0	1	0	0	0	0	0	0
NA	OG0000252	2	1	4	2	3	4	4	5	6	2	2	3	4	7
NA	OG0000253	2	3	3	3	4	6	1	2	9	3	4	3	3	3
NA	OG0000254	1	0	1	1	18	4	5	14	1	0	1	0	0	3
NA	OG0000255	2	1	3	2	2	2	2	1	14	1	3	1	2	13
NA	OG0000256	4	4	4	2	4	4	1	1	3	4	3	4	5	6
NA	OG0000257	4	2	2	2	11	6	8	3	3	1	1	1	1	4
NA	OG0000258	5	6	4	4	4	3	3	1	1	3	5	2	3	5
NA	OG0000259	2	2	1	2	3	8	3	11	4	2	2	1	3	5
NA	OG0000260	3	3	4	8	1	1	3	0	1	5	3	8	5	4
NA	OG0000264	1	1	1	1	8	20	2	3	2	4	1	1	1	2
NA	OG0000265	3	3	3	3	3	3	3	3	3	3	3	3	3	9
NA	OG0000266	4	3	5	3	4	4	4	4	2	2	3	4	4	2
NA	OG0000267	3	1	4	2	13	9	1	0	0	1	3	2	3	6
NA	OG0000268	2	0	0	0	3	2	8	0	0	0	14	0	18	1
NA	OG0000269	1	1	1	1	1	36	0	1	1	1	1	1	1	1
NA	OG0000270	10	0	16	1	1	2	0	0	1	4	1	7	5	0
NA	OG0000271	0	0	0	0	2	46	0	0	0	0	0	0	0	0
NA	OG0000272	1	3	0	0	24	2	0	0	0	2	5	3	4	4
NA	OG0000273	0	0	0	0	1	47	0	0	0	0	0	0	0	0
NA	OG0000274	2	4	4	3	2	2	3	1	7	4	4	3	4	4
NA	OG0000275	2	1	1	1	2	3	4	4	10	3	2	3	3	8
NA	OG0000276	1	1	1	1	1	7	2	20	5	2	1	2	2	1
NA	OG0000277	4	3	4	4	1	2	2	2	1	3	6	5	5	5
NA	OG0000278	5	1	3	2	2	2	14	6	6	1	2	1	1	1
NA	OG0000279	1	1	1	1	12	7	4	3	2	1	3	4	2	5
NA	OG0000280	1	1	1	1	3	4	2	25	3	1	1	1	1	2
NA	OG0000281	3	2	2	1	2	9	9	2	3	1	2	2	6	3
NA	OG0000282	6	3	5	4	1	1	5	3	10	1	1	2	2	3
NA	OG0000283	4	1	1	1	2	2	8	3	4	2	4	2	6	7
NA	OG0000284	5	3	4	4	3	3	3	4	4	3	3	2	3	3
NA	OG0000285	1	1	1	1	1	1	1	1	32	1	1	1	1	3
NA	OG0000286	1	1	1	1	26	10	0	0	1	1	1	1	1	2
NA	OG0000287	0	0	0	0	1	45	0	1	0	0	0	0	0	0
NA	OG0000288	0	0	0	0	27	19	0	0	0	0	1	0	0	0
NA	OG0000289	6	0	0	0	1	0	0	0	0	0	4	0	36	0
NA	OG0000290	10	6	9	9	0	0	0	0	0	3	5	3	2	0
NA	OG0000291	13	7	10	2	0	0	0	0	0	4	2	4	5	0
NA	OG0000292	2	2	3	3	4	3	3	4	6	2	2	3	3	6
NA	OG0000293	1	2	1	1	12	10	2	1	3	2	2	2	2	5
NA	OG0000294	0	0	0	0	23	20	1	0	1	0	0	1	0	0
NA	OG0000295	2	2	2	2	2	2	1	2	12	2	4	2	3	8
NA	OG0000296	3	4	3	3	3	3	1	2	6	3	3	2	3	7
NA	OG0000298	2	0	1	1	14	15	3	5	1	0	1	0	1	2
NA	OG0000299	6	2	6	6	2	2	3	2	6	2	2	2	2	3
NA	OG0000301	1	1	2	2	3	19	0	2	2	1	4	2	2	5
NA	OG0000302	3	2	3	3	3	4	0	2	5	4	4	5	5	3
NA	OG0000304	6	8	4	3	0	0	0	0	0	3	8	4	10	0
NA	OG0000305	2	1	2	2	2	3	1	5	17	2	2	1	1	4
NA	OG0000306	2	2	2	2	2	2	2	13	7	2	3	2	2	2
NA	OG0000307	2	0	4	3	2	1	1	0	0	0	12	14	0	6
NA	OG0000308	3	3	3	3	3	3	11	2	4	1	2	2	2	3
NA	OG0000309	2	3	2	2	2	3	4	2	6	2	2	2	3	10
NA	OG0000310	4	3	3	3	6	6	2	1	1	2	2	2	2	8
NA	OG0000311	2	2	2	3	5	6	1	6	3	2	2	2	3	6
NA	OG0000312	2	2	2	2	7	8	7	0	1	2	1	2	2	7
NA	OG0000313	2	2	3	2	4	3	2	3	14	2	2	1	3	2
NA	OG0000314	3	2	2	3	2	10	2	1	1	2	3	3	3	8
NA	OG0000315	2	2	3	3	6	5	1	9	1	4	2	4	2	1
NA	OG0000316	3	3	3	3	5	5	1	3	1	3	2	2	3	8
NA	OG0000317	4	3	5	2	3	3	6	3	2	2	3	2	2	5
NA	OG0000318	0	0	0	0	24	12	0	0	0	0	0	0	0	9
NA	OG0000319	1	0	0	0	40	1	0	0	2	0	0	1	0	0
NA	OG0000322	0	0	0	0	0	0	0	1	0	0	0	0	0	44
NA	OG0000323	2	3	2	3	5	5	4	1	1	3	2	2	2	9
NA	OG0000324	2	2	2	2	2	2	13	3	2	2	5	2	3	2
NA	OG0000325	3	3	3	3	3	2	5	6	3	2	3	2	3	3
NA	OG0000326	3	3	4	3	4	14	1	2	2	2	1	1	1	3
NA	OG0000327	1	1	2	1	1	1	2	1	19	2	2	2	2	7
NA	OG0000328	3	3	3	3	3	4	4	3	4	3	3	3	3	2
NA	OG0000329	1	0	2	1	5	5	5	6	4	3	1	2	3	6
NA	OG0000330	3	1	2	2	1	1	1	24	5	1	1	1	1	0
NA	OG0000331	2	2	2	2	3	5	2	2	11	1	2	1	1	8
NA	OG0000332	4	4	4	2	3	3	1	4	7	2	2	2	2	4
NA	OG0000333	0	0	0	0	35	6	0	1	2	0	0	0	0	0
